Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1987-11-05 00:00:00-05:00,1.6531111701775474,1.6623982309991066,1.6345369204635363,1.6438239812850952,55310,0.0,0.0
1987-11-06 00:00:00-05:00,1.6531111701775474,1.6716852918206655,1.6438239812850952,1.6438239812850952,212201,0.0,0.0
1987-11-09 00:00:00-05:00,1.6345372603690114,1.6531115139455779,1.5973886251449585,1.5973886251449585,107727,0.0,0.0
1987-11-10 00:00:00-05:00,1.6159627988204182,1.6531111701775474,1.5973882929646204,1.6438239812850952,61816,0.0,0.0
1987-11-11 00:00:00-05:00,1.6159627988204182,1.6623982309991066,1.6159627988204182,1.6438239812850952,65793,0.0,0.0
1987-11-12 00:00:00-05:00,1.6716844228353276,1.7459817672823472,1.6531103108475194,1.7366944551467896,102305,0.0,0.0
1987-11-13 00:00:00-05:00,1.7181202150881547,1.764556007340982,1.7088331590942507,1.7366944551467896,30366,0.0,0.0
1987-11-16 00:00:00-05:00,1.7181213470063246,1.745982917556041,1.7088342848939968,1.7274084091186523,53502,0.0,0.0
1987-11-17 00:00:00-05:00,1.7366953033641699,1.745982620035735,1.6902597445734573,1.6995469331741333,30004,0.0,0.0
1987-11-18 00:00:00-05:00,1.6902610668928504,1.6902610668928504,1.6345381478376049,1.6531124114990234,38681,0.0,0.0
1987-11-19 00:00:00-05:00,1.615963899117224,1.6345380334073205,1.5602409839630127,1.5602409839630127,422955,0.0,0.0
1987-11-20 00:00:00-05:00,1.5788151182531094,1.5881021853981576,1.523092203098898,1.5602409839630127,111342,0.0,0.0
1987-11-23 00:00:00-05:00,1.5788138512648116,1.588100910957052,1.5602397318803303,1.5695267915725708,31812,0.0,0.0
1987-11-24 00:00:00-05:00,1.5602405321264934,1.6252504955992484,1.5323788264760136,1.6066759824752808,198464,0.0,0.0
1987-11-25 00:00:00-05:00,1.606675158412411,1.606675158412411,1.5695267915725708,1.5695267915725708,96159,0.0,0.0
1987-11-27 00:00:00-05:00,1.5602397311235594,1.5881009101867676,1.5602397311235594,1.5881009101867676,31089,0.0,0.0
1987-11-30 00:00:00-05:00,1.5695260954334511,1.5695260954334511,1.532377360857727,1.550951600074768,74831,0.0,0.0
1987-12-01 00:00:00-05:00,1.5416654025136767,1.5881010904354163,1.5416654025136767,1.5788140296936035,96882,0.0,0.0
1987-12-02 00:00:00-05:00,1.5695267915725708,1.588100910957052,1.5602397318803303,1.5695267915725708,78446,0.0,0.0
1987-12-03 00:00:00-05:00,1.5602395789863992,1.5788136965507304,1.5416650772094724,1.5416650772094727,29281,0.0,0.0
1987-12-04 00:00:00-05:00,1.5230913786385856,1.5323784407564804,1.5138043165206907,1.513804316520691,73385,0.0,0.0
1987-12-07 00:00:00-05:00,1.504516781055916,1.523091029099958,1.495229721069336,1.495229721069336,46272,0.0,0.0
1987-12-08 00:00:00-05:00,1.4952308735927728,1.5602409839630127,1.4952308735927728,1.5602409839630127,84230,0.0,0.0
1987-12-09 00:00:00-05:00,1.5416646046077616,1.5509516605429536,1.4673675167720963,1.5045161247253418,111342,0.0,0.0
1987-12-10 00:00:00-05:00,1.4859424049409924,1.495229721069336,1.4673681568969503,1.495229721069336,63985,0.0,0.0
1987-12-11 00:00:00-05:00,1.4766552448272707,1.5045168095268993,1.4580811245026197,1.4766552448272705,48441,0.0,0.0
1987-12-14 00:00:00-05:00,1.4859417567133062,1.5138033087313598,1.4673675167720963,1.5045161247253418,92906,0.0,0.0
1987-12-15 00:00:00-05:00,1.4859421035524574,1.5323777782796146,1.4859421035524574,1.5230907201766968,67962,0.0,0.0
1987-12-16 00:00:00-05:00,1.5323774206017438,1.5509516605429536,1.5045161247253418,1.5045161247253418,131948,0.0,0.0
1987-12-17 00:00:00-05:00,1.5045160660675756,1.5973873902236024,1.5045160660675756,1.550951600074768,295707,0.0,0.0
1987-12-18 00:00:00-05:00,1.5695269289500111,1.6159627437591555,1.550952423727109,1.6159627437591553,198825,0.0,0.0
1987-12-21 00:00:00-05:00,1.6159626015334863,1.653110968355308,1.5509522872231907,1.5881009101867676,109535,0.0,0.0
1987-12-22 00:00:00-05:00,1.6066759824752808,1.6066759824752808,1.5695275965820623,1.6066759824752808,114234,0.0,0.0
1987-12-23 00:00:00-05:00,1.599524943032009,1.7124326440758602,1.5618889994337493,1.6747967004776,135201,0.077455,0.0
1987-12-24 00:00:00-05:00,1.693612776223326,1.693612776223326,1.6371593716680637,1.6559771299362183,135924,0.0,0.0
1987-12-28 00:00:00-05:00,1.637160821621453,1.7218414575796444,1.5995247527495224,1.7030235528945923,77000,0.0,0.0
1987-12-29 00:00:00-05:00,1.6842057117842137,1.6936146010561643,1.637161135673523,1.637161135673523,46995,0.0,0.0
1987-12-30 00:00:00-05:00,1.6183412241475141,1.6842038970892486,1.5995233361285612,1.6559771299362183,74108,0.0,0.0
1987-12-31 00:00:00-05:00,1.6559785796336024,1.6559785796336024,1.5807069616625737,1.599524736404419,53864,0.0,0.0
1988-01-04 00:00:00-05:00,1.580706882346746,1.6747964000893605,1.580706882346746,1.6465696096420288,67962,0.0,0.0
1988-01-05 00:00:00-05:00,1.6653874840226617,1.7030235528945923,1.6653874840226617,1.7030235528945923,158699,0.0,0.0
1988-01-06 00:00:00-05:00,1.731249947053041,1.731249947053041,1.6747961162250324,1.693613886833191,215093,0.0,0.0
1988-01-07 00:00:00-05:00,1.6747962663465068,1.7218412160873413,1.6747962663465068,1.7218412160873413,86037,0.0,0.0
1988-01-08 00:00:00-05:00,1.7124327688528795,1.7124327688528795,1.637161135673523,1.637161135673523,30727,0.0,0.0
1988-01-11 00:00:00-05:00,1.637161135673523,1.655978914217424,1.6183429678768075,1.637161135673523,28920,0.0,0.0
1988-01-12 00:00:00-05:00,1.6183427047028829,1.6371608694393995,1.5712977469898008,1.608933687210083,98690,0.0,0.0
1988-01-13 00:00:00-05:00,1.5901160811654318,1.5901160811654318,1.524253211199471,1.5807071924209595,82422,0.0,0.0
1988-01-14 00:00:00-05:00,1.5995244530636288,1.618342354222971,1.5242527186753718,1.5524795055389404,169182,0.0,0.0
1988-01-15 00:00:00-05:00,1.5524794412789455,1.57129734165938,1.5336616706493946,1.5618884563446045,177858,0.0,0.0
1988-01-18 00:00:00-05:00,1.5807069616625737,1.599524736404419,1.561888797667993,1.599524736404419,31450,0.0,0.0
1988-01-19 00:00:00-05:00,1.6089322152626386,1.6559771299362183,1.6089322152626386,1.6559771299362183,41573,0.0,0.0
1988-01-20 00:00:00-05:00,1.6371612254902494,1.674796914393731,1.6089340371220664,1.6277519464492798,176051,0.0,0.0
1988-01-21 00:00:00-05:00,1.6183427047028829,1.6183427047028829,1.5995247994682003,1.608933687210083,73385,0.0,0.0
1988-01-22 00:00:00-05:00,1.6277518571487581,1.637161135673523,1.6277518571487581,1.637161135673523,15183,0.0,0.0
